Galaxy_ID,N_points,Has_bulge,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,chi2_reduced_nuisance_GOD,Yd_fit,Yb_fit,fd_fit,RMS_pct_strict,a0_m_s2
UGC08490,30,0,0.5606,0.2391,0.3631,0.95,0.7,0.85,3.83,1.042115e-10
UGC08550,11,0,2.3766,4.8208,1.4153,0.85,0.7,0.975,6.74,1.042115e-10
UGC08699,41,1,41.3959,50.6758,1.2286,0.85,0.85,1.05,14.48,1.042115e-10
UGC08837,8,0,70.5791,80.9112,5.3988,0.25,0.7,1.15,45.58,1.042115e-10
UGC09037,22,0,163.8788,184.2855,1.8534,0.45,0.7,1.05,34.47,1.042115e-10
UGC09133,68,1,452.0153,574.6616,19.2031,0.75,0.75,1.15,18.87,1.042115e-10
UGC09992,5,0,11.8965,13.8618,4.0085,0.35,0.7,1.075,36.14,1.042115e-10
UGC10310,7,0,6.8194,9.3019,2.3261,0.65,0.7,1.05,16.04,1.042115e-10
UGC11455,36,0,129.8878,147.1422,4.8012,0.65,0.7,0.85,27.67,1.042115e-10
UGC11557,12,0,49.0705,54.5116,1.4825,0.35,0.7,1.1,53.92,1.042115e-10
UGC11820,10,0,74.4303,109.3097,23.0911,0.55,0.7,1.15,14.53,1.042115e-10
UGC11914,65,1,63.9516,74.4875,4.0046,0.85,0.95,1.1,11.18,1.042115e-10
UGC12506,31,0,2.271,3.0663,2.3544,0.95,0.7,1.025,24.94,1.042115e-10
UGC12632,15,0,12.4604,17.8538,4.6025,0.75,0.7,1.15,13.23,1.042115e-10
UGC12732,16,0,4.4024,8.0306,1.7379,0.85,0.7,1.15,7.77,1.042115e-10
UGCA281,7,0,15.8998,20.382,0.2381,0.55,0.7,1.0,22.06,1.042115e-10
UGCA442,8,0,4.9074,7.3467,4.39,0.45,0.7,0.875,10.38,1.042115e-10
UGCA444,36,0,1.6626,2.3792,0.8948,0.45,0.7,1.15,13.53,1.042115e-10
