# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.502679e+00   3.361693e+01   3.876178e-03   1.311222e-01   67224
  3.516300e+00   3.391816e+01   3.864568e-03   1.312482e-01   68034
  3.529960e+00   3.383906e+01   3.966927e-03   1.312276e-01   69744
  3.543594e+00   3.340154e+01   3.885699e-03   1.299366e-01   68654
  3.557414e+00   3.351954e+01   3.971071e-03   1.269883e-01   72132
  3.571044e+00   3.343747e+01   3.879008e-03   1.290943e-01   68520
  3.584509e+00   3.294375e+01   3.898516e-03   1.255819e-01   71070
  3.598179e+00   3.337342e+01   3.958888e-03   1.271205e-01   71948
  3.611821e+00   3.328619e+01   3.929676e-03   1.271039e-01   71598
  3.625467e+00   3.287112e+01   3.942460e-03   1.240179e-01   73536
  3.639107e+00   3.291081e+01   3.937889e-03   1.250188e-01   71802
  3.652514e+00   3.287451e+01   3.891299e-03   1.240123e-01   73280
  3.666109e+00   3.298495e+01   3.935353e-03   1.237787e-01   73992
  3.679845e+00   3.273530e+01   4.017255e-03   1.216389e-01   75966
  3.693428e+00   3.249506e+01   3.879294e-03   1.227807e-01   74364
  3.707067e+00   3.303102e+01   3.965648e-03   1.224465e-01   76094
  3.720600e+00   3.268888e+01   3.905935e-03   1.205081e-01   76224
  3.734235e+00   3.249320e+01   3.912190e-03   1.211800e-01   76242
  3.747669e+00   3.253747e+01   3.927725e-03   1.211261e-01   76960
  3.761291e+00   3.226132e+01   3.936642e-03   1.178033e-01   78664
  3.775137e+00   3.246637e+01   3.964378e-03   1.181693e-01   79962
  3.788660e+00   3.233912e+01   3.891324e-03   1.202014e-01   77760
  3.802214e+00   3.249301e+01   3.906151e-03   1.207368e-01   79590
  3.815784e+00   3.258671e+01   3.980873e-03   1.191829e-01   80732
  3.829489e+00   3.214513e+01   3.955057e-03   1.170487e-01   81174
  3.843061e+00   3.249192e+01   3.897815e-03   1.197522e-01   80832
  3.856429e+00   3.251193e+01   3.890120e-03   1.190022e-01   80040
  3.870041e+00   3.273520e+01   3.937062e-03   1.175803e-01   84266
  3.883800e+00   3.249470e+01   3.965191e-03   1.178110e-01   83592
  3.897465e+00   3.285178e+01   3.910254e-03   1.196650e-01   83838
  3.910997e+00   3.251900e+01   3.872159e-03   1.177781e-01   83676
  3.924583e+00   3.249515e+01   3.944483e-03   1.184506e-01   84950
  3.938101e+00   3.257523e+01   3.827494e-03   1.178627e-01   84912
  3.951789e+00   3.257475e+01   3.995013e-03   1.155425e-01   87162
  3.965420e+00   3.273487e+01   3.878666e-03   1.174156e-01   86440
  3.978946e+00   3.285177e+01   3.856469e-03   1.184032e-01   86560
  3.992604e+00   3.305005e+01   3.947133e-03   1.182541e-01   88698
  4.006224e+00   3.267315e+01   3.908165e-03   1.161162e-01   88920
  4.019914e+00   3.261581e+01   3.907564e-03   1.179290e-01   88323
  4.033463e+00   3.280975e+01   3.941385e-03   1.177581e-01   89360
  4.047191e+00   3.249640e+01   3.920678e-03   1.175074e-01   89040
  4.060772e+00   3.252976e+01   3.965659e-03   1.176145e-01   87684
  4.074289e+00   3.191393e+01   3.941664e-03   1.149942e-01   87900
  4.087951e+00   3.216831e+01   3.932995e-03   1.171107e-01   87884
  4.101525e+00   3.188589e+01   3.936703e-03   1.150001e-01   86844
  4.115106e+00   3.184939e+01   3.939490e-03   1.144345e-01   87216
  4.128692e+00   3.164041e+01   3.930534e-03   1.154210e-01   85952
  4.142291e+00   3.103124e+01   3.981611e-03   1.114940e-01   87264
  4.156016e+00   3.109299e+01   3.930927e-03   1.122689e-01   86316
  4.169516e+00   3.120303e+01   3.887819e-03   1.140133e-01   83976
  4.183033e+00   3.096249e+01   3.957351e-03   1.115533e-01   85928
  4.196752e+00   3.083249e+01   3.971860e-03   1.134955e-01   85608
  4.210347e+00   3.065432e+01   3.902488e-03   1.137401e-01   83964
  4.223963e+00   3.047222e+01   3.940777e-03   1.109005e-01   84708
  4.237476e+00   3.032416e+01   3.905502e-03   1.123509e-01   82260
  4.250988e+00   3.003311e+01   3.945996e-03   1.094903e-01   84296
  4.264733e+00   2.965880e+01   3.941065e-03   1.089220e-01   83460
  4.278231e+00   2.993627e+01   3.898421e-03   1.116276e-01   81444
  4.291717e+00   2.969586e+01   3.905830e-03   1.107073e-01   82144
  4.305327e+00   2.931156e+01   3.952156e-03   1.097636e-01   82180
  4.318919e+00   2.924659e+01   3.889070e-03   1.084868e-01   81420
  4.332623e+00   2.880944e+01   3.967259e-03   1.060684e-01   82104
  4.346159e+00   2.907567e+01   3.882328e-03   1.088067e-01   79620
  4.359759e+00   2.887459e+01   3.897281e-03   1.061384e-01   81236
  4.373418e+00   2.847062e+01   3.880312e-03   1.071318e-01   79608
  4.387029e+00   2.857024e+01   3.933006e-03   1.060976e-01   80268
  4.400643e+00   2.841617e+01   3.850171e-03   1.062868e-01   78412
  4.414192e+00   2.830540e+01   3.922071e-03   1.057101e-01   78952
  4.427933e+00   2.793975e+01   3.938715e-03   1.048740e-01   79656
  4.441606e+00   2.794407e+01   3.881671e-03   1.064297e-01   77184
  4.455081e+00   2.775079e+01   3.897139e-03   1.057151e-01   76944
  4.468742e+00   2.769000e+01   3.934255e-03   1.050525e-01   77984
  4.482318e+00   2.752296e+01   3.887487e-03   1.056441e-01   75336
  4.495891e+00   2.763160e+01   3.967951e-03   1.043028e-01   77280
  4.509585e+00   2.724350e+01   3.911883e-03   1.041822e-01   75120
  4.523186e+00   2.708678e+01   4.006918e-03   1.028569e-01   76364
  4.536881e+00   2.713350e+01   3.870669e-03   1.040532e-01   74244
  4.550448e+00   2.695902e+01   4.007133e-03   1.030339e-01   74400
  4.563952e+00   2.677891e+01   3.919594e-03   1.046682e-01   73388
  4.577709e+00   2.667244e+01   3.981865e-03   1.038490e-01   74964
  4.591267e+00   2.640703e+01   3.838052e-03   1.047209e-01   71100
  4.604865e+00   2.626844e+01   3.984832e-03   1.023913e-01   74100
  4.618437e+00   2.617073e+01   3.839966e-03   1.043242e-01   70068
  4.631915e+00   2.630515e+01   3.927566e-03   1.027830e-01   72296
  4.645712e+00   2.560124e+01   3.920569e-03   1.004242e-01   71724
  4.659287e+00   2.577553e+01   3.930407e-03   1.018763e-01   69852
  4.672792e+00   2.543169e+01   3.886828e-03   1.003621e-01   69732
  4.686387e+00   2.574231e+01   3.918196e-03   1.015828e-01   69512
  4.699982e+00   2.546501e+01   3.922067e-03   1.018701e-01   69252
  4.713606e+00   2.529192e+01   3.871092e-03   1.012669e-01   68064
  4.727139e+00   2.530964e+01   3.988880e-03   1.020774e-01   67944
  4.740774e+00   2.532288e+01   3.945867e-03   1.008491e-01   68204
  4.754479e+00   2.500715e+01   3.902220e-03   1.010613e-01   66684
  4.767989e+00   2.498180e+01   3.962347e-03   1.018518e-01   66264
  4.781640e+00   2.453182e+01   3.928075e-03   9.880346e-02   66368
  4.795269e+00   2.465271e+01   3.954395e-03   1.009860e-01   65100
  4.808774e+00   2.479442e+01   3.896555e-03   1.010590e-01   64644
  4.822442e+00   2.457644e+01   3.926189e-03   1.012040e-01   64440
  4.835874e+00   2.424995e+01   3.906547e-03   1.007770e-01   62668
  4.849538e+00   2.418032e+01   3.941186e-03   9.893005e-02   64696
  4.863356e+00   2.430415e+01   3.937367e-03   1.010240e-01   62820
  4.876903e+00   2.406640e+01   3.924058e-03   1.005273e-01   61920
  4.890519e+00   2.393107e+01   3.892807e-03   9.976911e-02   61532
  4.903985e+00   2.382931e+01   3.879794e-03   1.016662e-01   59952
  4.917706e+00   2.382583e+01   4.001762e-03   9.876425e-02   62460
  4.931448e+00   2.387080e+01   3.882676e-03   1.022663e-01   58644
  4.944703e+00   2.378193e+01   3.891283e-03   1.021129e-01   58188
  4.958407e+00   2.356807e+01   3.945950e-03   1.008523e-01   60044
  4.972127e+00   2.337177e+01   3.952119e-03   1.014714e-01   57780
  4.985746e+00   2.337738e+01   3.974538e-03   1.007653e-01   58380
  4.999353e+00   2.340320e+01   3.828451e-03   1.034173e-01   55508
  5.012797e+00   2.310220e+01   3.995934e-03   1.007121e-01   56964
  5.026563e+00   2.300051e+01   3.869203e-03   1.004811e-01   56148
  5.040180e+00   2.307547e+01   3.936315e-03   1.032906e-01   54468
  5.053627e+00   2.278444e+01   3.966640e-03   1.002878e-01   54540
  5.067356e+00   2.299628e+01   3.927116e-03   1.024447e-01   54512
  5.080932e+00   2.255287e+01   3.890016e-03   1.020824e-01   52488
  5.094532e+00   2.293367e+01   3.948577e-03   1.040134e-01   53400
  5.108248e+00   2.285323e+01   3.977201e-03   1.035720e-01   51972
  5.121705e+00   2.253686e+01   3.889875e-03   1.029827e-01   50924
  5.135379e+00   2.253247e+01   3.876250e-03   1.039866e-01   51120
  5.148878e+00   2.244517e+01   3.938458e-03   1.041315e-01   49116
  5.162337e+00   2.259109e+01   3.939938e-03   1.055179e-01   49920
  5.176058e+00   2.245183e+01   3.882717e-03   1.041880e-01   48692
  5.189489e+00   2.242153e+01   3.893182e-03   1.065151e-01   47532
  5.203137e+00   2.243526e+01   3.925008e-03   1.061004e-01   48312
  5.216836e+00   2.236689e+01   3.962643e-03   1.080027e-01   46704
  5.230366e+00   2.217501e+01   3.892765e-03   1.074365e-01   46328
  5.244111e+00   2.195400e+01   3.900492e-03   1.061883e-01   45804
  5.257589e+00   2.231903e+01   3.934448e-03   1.116706e-01   44220
