Galaxy_ID,N_points,Has_bulge,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,chi2_reduced_nuisance_GOD,Yd_fit,Yb_fit,fd_fit,RMS_pct_strict,a0_m_s2
UGC06786,45,1,89.379,60.9553,20.3212,1.25,0.75,0.85,11.43,1.042115e-10
UGC06787,71,1,119.6884,92.3227,24.9183,1.45,0.65,0.85,15.68,1.042115e-10
UGC06818,8,0,13.4695,16.291,3.5254,0.45,0.7,0.9,30.02,1.042115e-10
UGC06917,11,0,1.4134,3.0171,1.126,0.85,0.7,0.85,5.68,1.042115e-10
UGC06923,6,0,4.5163,6.5131,1.3717,0.65,0.7,0.9,18.11,1.042115e-10
UGC06930,10,0,3.9435,6.4843,1.5596,0.75,0.7,1.0,11.39,1.042115e-10
UGC06973,9,1,404.8349,409.2938,33.6495,0.55,0.75,0.85,30.12,1.042115e-10
UGC06983,17,0,1.3161,0.9371,0.9801,1.05,0.7,0.975,7.29,1.042115e-10
UGC07089,12,0,16.642,21.1897,0.1838,0.45,0.7,0.95,26.04,1.042115e-10
UGC07125,13,0,152.2037,184.723,36.8905,0.25,0.7,1.15,34.9,1.042115e-10
UGC07151,11,0,8.2688,13.4793,2.6266,0.85,0.7,1.075,12.77,1.042115e-10
UGC07232,4,0,2.1971,2.4964,4.2831,0.75,0.7,0.925,16.76,1.042115e-10
UGC07261,7,0,1.1002,1.9768,1.1672,0.75,0.7,0.925,9.11,1.042115e-10
UGC07323,10,0,12.9899,17.6284,0.6071,0.65,0.7,0.975,20.83,1.042115e-10
UGC07399,10,0,64.8595,54.8594,7.4254,1.65,0.7,0.85,38.62,1.042115e-10
UGC07524,31,0,6.8199,10.8832,2.1606,0.75,0.7,1.075,12.55,1.042115e-10
UGC07559,7,0,12.462,15.2763,1.5046,0.35,0.7,1.125,35.4,1.042115e-10
UGC07577,9,0,21.1236,23.8361,5.8751,0.25,0.7,1.15,58.48,1.042115e-10
UGC07603,12,0,4.3651,3.055,3.2825,1.05,0.7,0.85,13.44,1.042115e-10
UGC07608,8,0,1.4188,0.9921,2.2681,0.75,0.7,0.85,19.51,1.042115e-10
UGC07690,7,0,3.1309,4.7802,1.8951,0.75,0.7,1.0,11.72,1.042115e-10
UGC07866,7,0,5.1453,6.5706,0.6232,0.45,0.7,1.05,27.05,1.042115e-10
UGC08286,17,0,15.7695,9.2118,2.3305,1.25,0.7,0.95,14.85,1.042115e-10
UGC08490,30,0,3.8709,1.9993,0.3445,1.15,0.7,0.85,10.94,1.042115e-10
UGC08550,11,0,0.8821,1.115,1.109,0.95,0.7,0.9,4.37,1.042115e-10
UGC08699,41,1,11.4243,12.1037,1.3253,1.05,0.75,0.85,10.19,1.042115e-10
UGC08837,8,0,51.5298,60.7764,3.5157,0.25,0.7,1.15,42.28,1.042115e-10
UGC09037,22,0,82.7681,96.0741,2.1694,0.55,0.7,1.0,27.65,1.042115e-10
UGC09133,68,1,191.9699,268.0775,24.6199,0.85,0.85,1.15,13.91,1.042115e-10
UGC09992,5,0,8.4506,10.1922,3.0254,0.35,0.7,1.075,31.95,1.042115e-10
UGC10310,7,0,2.7597,4.3869,1.731,0.75,0.7,1.025,10.41,1.042115e-10
UGC11455,36,0,51.7067,58.7894,5.1646,0.75,0.7,0.85,20.82,1.042115e-10
UGC11557,12,0,29.938,34.3236,1.2174,0.35,0.7,1.025,49.07,1.042115e-10
UGC11820,10,0,36.1363,62.4673,10.5629,0.65,0.7,1.15,11.49,1.042115e-10
UGC11914,65,1,16.222,17.0133,5.6914,0.95,0.95,0.85,7.43,1.042115e-10
UGC12506,31,0,4.1978,3.4321,2.2299,1.15,0.7,1.05,32.21,1.042115e-10
UGC12632,15,0,6.1358,9.9271,3.2461,0.85,0.7,1.15,9.19,1.042115e-10
UGC12732,16,0,1.1961,3.0235,1.0414,0.95,0.7,1.075,3.92,1.042115e-10
UGCA281,7,0,6.5471,9.6812,0.2752,0.65,0.7,0.975,15.96,1.042115e-10
UGCA442,8,0,3.0801,3.3375,3.7235,0.65,0.7,0.85,7.66,1.042115e-10
UGCA444,36,0,0.8252,1.3584,0.3933,0.55,0.7,1.15,10.01,1.042115e-10
