# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  2.115216e+00   3.932574e+01   3.968932e-03   2.468118e-01   25296
  2.128915e+00   3.911746e+01   3.924347e-03   2.498035e-01   24452
  2.142311e+00   3.846148e+01   3.835662e-03   2.429927e-01   25254
  2.156023e+00   3.851238e+01   3.969357e-03   2.383922e-01   26016
  2.169543e+00   3.910597e+01   3.782439e-03   2.451090e-01   25182
  2.183190e+00   3.924117e+01   3.967911e-03   2.326902e-01   27428
  2.197036e+00   3.887527e+01   3.811822e-03   2.367108e-01   25974
  2.210356e+00   3.889405e+01   3.861453e-03   2.376668e-01   26904
  2.223881e+00   3.946077e+01   3.824751e-03   2.403908e-01   26730
  2.237420e+00   3.986274e+01   3.914440e-03   2.405728e-01   27896
  2.251310e+00   3.962703e+01   4.054409e-03   2.325845e-01   28992
  2.265347e+00   4.061298e+01   3.954062e-03   2.415510e-01   28698
  2.278737e+00   3.947902e+01   3.843600e-03   2.330570e-01   27776
  2.292429e+00   4.039964e+01   3.995766e-03   2.362104e-01   29814
  2.306139e+00   3.993198e+01   3.915312e-03   2.328672e-01   29148
  2.319524e+00   3.964826e+01   3.875582e-03   2.316818e-01   28806
  2.333025e+00   3.981832e+01   3.958903e-03   2.272171e-01   30408
  2.346651e+00   3.974219e+01   3.963675e-03   2.279724e-01   30320
  2.360383e+00   4.007625e+01   3.835440e-03   2.281546e-01   30930
  2.374113e+00   4.009423e+01   4.052392e-03   2.214262e-01   31656
  2.387552e+00   3.918257e+01   3.767771e-03   2.259956e-01   30038
  2.401049e+00   3.976503e+01   3.994026e-03   2.187214e-01   32772
  2.414634e+00   4.010705e+01   3.846851e-03   2.285249e-01   30846
  2.428124e+00   3.980826e+01   4.001639e-03   2.195874e-01   33480
  2.441934e+00   3.993209e+01   4.002753e-03   2.210679e-01   32804
  2.455419e+00   3.998315e+01   3.837070e-03   2.201765e-01   32814
  2.469066e+00   3.963555e+01   3.979794e-03   2.130114e-01   34200
  2.482757e+00   4.014893e+01   3.961173e-03   2.187846e-01   33594
  2.496189e+00   3.990897e+01   3.958120e-03   2.160265e-01   34336
  2.509895e+00   3.959528e+01   4.021608e-03   2.144085e-01   34822
  2.523498e+00   3.942851e+01   3.984730e-03   2.078554e-01   35472
  2.537012e+00   3.956042e+01   3.829489e-03   2.139257e-01   34404
  2.550515e+00   4.013651e+01   3.989015e-03   2.107611e-01   36254
  2.564036e+00   3.953272e+01   3.909325e-03   2.075120e-01   35952
  2.577685e+00   3.966093e+01   3.865425e-03   2.057688e-01   36570
  2.591221e+00   3.956490e+01   3.945868e-03   2.061923e-01   37176
  2.604897e+00   3.978239e+01   3.868066e-03   2.069726e-01   37374
  2.618539e+00   3.941496e+01   3.900492e-03   2.036175e-01   38084
  2.632053e+00   3.933188e+01   3.851721e-03   2.024973e-01   37590
  2.645768e+00   3.978441e+01   3.924351e-03   2.011359e-01   39480
  2.659318e+00   3.944135e+01   3.881595e-03   2.002180e-01   38228
  2.672896e+00   3.935434e+01   3.832629e-03   1.983857e-01   39678
  2.686732e+00   3.879548e+01   4.013848e-03   1.936213e-01   40944
  2.700458e+00   3.931704e+01   3.906598e-03   2.007591e-01   39678
  2.713942e+00   3.843020e+01   3.899880e-03   1.940621e-01   40652
  2.727541e+00   3.965614e+01   3.970706e-03   1.970105e-01   40758
  2.741211e+00   3.950710e+01   3.946723e-03   1.915348e-01   42216
  2.754895e+00   3.853234e+01   3.941899e-03   1.892201e-01   41532
  2.768446e+00   3.901049e+01   3.908674e-03   1.874085e-01   42134
  2.781915e+00   3.897295e+01   3.852299e-03   1.878211e-01   42216
  2.795593e+00   3.860600e+01   3.995670e-03   1.849140e-01   43530
  2.809225e+00   3.851704e+01   3.940296e-03   1.836868e-01   43848
  2.822801e+00   3.880757e+01   3.861058e-03   1.878800e-01   42854
  2.836455e+00   3.856800e+01   4.071603e-03   1.789901e-01   46176
  2.850131e+00   3.888280e+01   3.770192e-03   1.856757e-01   43380
  2.863598e+00   3.836767e+01   3.917386e-03   1.809069e-01   45294
  2.877132e+00   3.834525e+01   3.960175e-03   1.782174e-01   45744
  2.890932e+00   3.812815e+01   3.942487e-03   1.769629e-01   46682
  2.904469e+00   3.787034e+01   3.914379e-03   1.777852e-01   45840
  2.918029e+00   3.798871e+01   3.983754e-03   1.746483e-01   47118
  2.931574e+00   3.770095e+01   3.902550e-03   1.735691e-01   46916
  2.945138e+00   3.798044e+01   4.001451e-03   1.736806e-01   48192
  2.959047e+00   3.816895e+01   3.978965e-03   1.718508e-01   49566
  2.972418e+00   3.724121e+01   3.826645e-03   1.751556e-01   46284
  2.985778e+00   3.795159e+01   3.941096e-03   1.719898e-01   49486
  2.999427e+00   3.757397e+01   3.935566e-03   1.676686e-01   49840
  3.013055e+00   3.756901e+01   3.926843e-03   1.677560e-01   49806
  3.026747e+00   3.746033e+01   3.938750e-03   1.658577e-01   51492
  3.040282e+00   3.738189e+01   3.850917e-03   1.712357e-01   49488
  3.053928e+00   3.720170e+01   3.960828e-03   1.631397e-01   53198
  3.067660e+00   3.683387e+01   3.817999e-03   1.629987e-01   51060
  3.081158e+00   3.701722e+01   3.894577e-03   1.645210e-01   52134
  3.094688e+00   3.698570e+01   3.888791e-03   1.607692e-01   52864
  3.108319e+00   3.641323e+01   3.904203e-03   1.589004e-01   52930
  3.121955e+00   3.659278e+01   3.954567e-03   1.579516e-01   54936
  3.135758e+00   3.638610e+01   3.897590e-03   1.583970e-01   53886
  3.149230e+00   3.635583e+01   3.937544e-03   1.567165e-01   54268
  3.162743e+00   3.630031e+01   3.939575e-03   1.548712e-01   55264
  3.176547e+00   3.635928e+01   3.942980e-03   1.520226e-01   56358
  3.190083e+00   3.583001e+01   3.916767e-03   1.524110e-01   55632
  3.203717e+00   3.627907e+01   3.912176e-03   1.520887e-01   56514
  3.217266e+00   3.597754e+01   3.982076e-03   1.509974e-01   57248
  3.230810e+00   3.591308e+01   3.904678e-03   1.528010e-01   56766
  3.244673e+00   3.591842e+01   4.094868e-03   1.484437e-01   60804
  3.258170e+00   3.569070e+01   3.776079e-03   1.517116e-01   55416
  3.271753e+00   3.549678e+01   3.996388e-03   1.442069e-01   61286
  3.285338e+00   3.544713e+01   3.833338e-03   1.492452e-01   57396
  3.298806e+00   3.515269e+01   3.991398e-03   1.439767e-01   60870
  3.312472e+00   3.570928e+01   3.883682e-03   1.459427e-01   60248
  3.326075e+00   3.541300e+01   3.982993e-03   1.440871e-01   60978
  3.339697e+00   3.510334e+01   3.918479e-03   1.410017e-01   62016
  3.353256e+00   3.520942e+01   3.912234e-03   1.435812e-01   60768
  3.366742e+00   3.469130e+01   3.948483e-03   1.383880e-01   62806
  3.380458e+00   3.483168e+01   3.971518e-03   1.390946e-01   63868
  3.394173e+00   3.444404e+01   3.950242e-03   1.384957e-01   63054
  3.407522e+00   3.454658e+01   3.889075e-03   1.382363e-01   63024
  3.421149e+00   3.446479e+01   4.000464e-03   1.364273e-01   64882
  3.434670e+00   3.434254e+01   3.899766e-03   1.352875e-01   64744
  3.448305e+00   3.414502e+01   3.892570e-03   1.360415e-01   65688
  3.461951e+00   3.445226e+01   3.915056e-03   1.360891e-01   65994
  3.475449e+00   3.404475e+01   3.920197e-03   1.326453e-01   66648
  3.489190e+00   3.399910e+01   3.861504e-03   1.318911e-01   67310
  3.502679e+00   3.401507e+01   3.876178e-03   1.314153e-01   67224
  3.516300e+00   3.432813e+01   3.864568e-03   1.315441e-01   68034
  3.529960e+00   3.423966e+01   3.966927e-03   1.315249e-01   69744
  3.543594e+00   3.378089e+01   3.885699e-03   1.302116e-01   68654
  3.557414e+00   3.393030e+01   3.971071e-03   1.272867e-01   72132
  3.571044e+00   3.381218e+01   3.879008e-03   1.293945e-01   68520
  3.584509e+00   3.333543e+01   3.898516e-03   1.258666e-01   71070
  3.598179e+00   3.375252e+01   3.958888e-03   1.273965e-01   71948
  3.611821e+00   3.367833e+01   3.929676e-03   1.274075e-01   71598
  3.625467e+00   3.325884e+01   3.942460e-03   1.243227e-01   73536
  3.639107e+00   3.329900e+01   3.937889e-03   1.253198e-01   71802
  3.652514e+00   3.327841e+01   3.891299e-03   1.243044e-01   73280
  3.666109e+00   3.337427e+01   3.935353e-03   1.240828e-01   73992
  3.679845e+00   3.313764e+01   4.017255e-03   1.219302e-01   75966
  3.693428e+00   3.288944e+01   3.879294e-03   1.230755e-01   74364
  3.707067e+00   3.343109e+01   3.965648e-03   1.227468e-01   76094
  3.720600e+00   3.307722e+01   3.905935e-03   1.208045e-01   76224
  3.734235e+00   3.290705e+01   3.912190e-03   1.214700e-01   76242
  3.747669e+00   3.293305e+01   3.927725e-03   1.214154e-01   76960
  3.761291e+00   3.266096e+01   3.936642e-03   1.180640e-01   78664
  3.775137e+00   3.286093e+01   3.964378e-03   1.184632e-01   79962
  3.788660e+00   3.271701e+01   3.891324e-03   1.204823e-01   77760
  3.802214e+00   3.289010e+01   3.906151e-03   1.210144e-01   79590
  3.815784e+00   3.296242e+01   3.980873e-03   1.194773e-01   80732
  3.829489e+00   3.252270e+01   3.955057e-03   1.173331e-01   81174
  3.843061e+00   3.289312e+01   3.897815e-03   1.200362e-01   80832
  3.856429e+00   3.290129e+01   3.890120e-03   1.192922e-01   80040
  3.870041e+00   3.312641e+01   3.937062e-03   1.178566e-01   84266
  3.883800e+00   3.285690e+01   3.965191e-03   1.181073e-01   83592
  3.897465e+00   3.325084e+01   3.910254e-03   1.199862e-01   83838
  3.910997e+00   3.291852e+01   3.872159e-03   1.180642e-01   83676
  3.924583e+00   3.291037e+01   3.944483e-03   1.187389e-01   84950
  3.938101e+00   3.296971e+01   3.827494e-03   1.181414e-01   84912
  3.951789e+00   3.295157e+01   3.995013e-03   1.158080e-01   87162
  3.965420e+00   3.312844e+01   3.878666e-03   1.177102e-01   86440
  3.978946e+00   3.324600e+01   3.856469e-03   1.186794e-01   86560
  3.992604e+00   3.346467e+01   3.947133e-03   1.185660e-01   88698
  4.006224e+00   3.309723e+01   3.908165e-03   1.164085e-01   88920
  4.019914e+00   3.301033e+01   3.907564e-03   1.182166e-01   88323
  4.033463e+00   3.320319e+01   3.941385e-03   1.180426e-01   89360
  4.047191e+00   3.287846e+01   3.920678e-03   1.177904e-01   89040
  4.060772e+00   3.291711e+01   3.965659e-03   1.178934e-01   87684
  4.074289e+00   3.227856e+01   3.941664e-03   1.152397e-01   87900
  4.087951e+00   3.253202e+01   3.932995e-03   1.173685e-01   87884
  4.101525e+00   3.226010e+01   3.936703e-03   1.152506e-01   86844
  4.115106e+00   3.220761e+01   3.939490e-03   1.147118e-01   87216
  4.128692e+00   3.201929e+01   3.930534e-03   1.156828e-01   85952
  4.142291e+00   3.141043e+01   3.981611e-03   1.117692e-01   87264
  4.156016e+00   3.145511e+01   3.930927e-03   1.125266e-01   86316
  4.169516e+00   3.155251e+01   3.887819e-03   1.142652e-01   83976
  4.183033e+00   3.130452e+01   3.957351e-03   1.117771e-01   85928
  4.196752e+00   3.120265e+01   3.971860e-03   1.137702e-01   85608
  4.210347e+00   3.101699e+01   3.902488e-03   1.139848e-01   83964
  4.223963e+00   3.079925e+01   3.940777e-03   1.111336e-01   84708
  4.237476e+00   3.065423e+01   3.905502e-03   1.125967e-01   82260
  4.250988e+00   3.036247e+01   3.945996e-03   1.097364e-01   84296
  4.264733e+00   2.999014e+01   3.941065e-03   1.091484e-01   83460
  4.278231e+00   3.025155e+01   3.898421e-03   1.118591e-01   81444
  4.291717e+00   3.002753e+01   3.905830e-03   1.109447e-01   82144
  4.305327e+00   2.963813e+01   3.952156e-03   1.100115e-01   82180
  4.318919e+00   2.955360e+01   3.889070e-03   1.086907e-01   81420
  4.332623e+00   2.910882e+01   3.967259e-03   1.062861e-01   82104
  4.346159e+00   2.937671e+01   3.882328e-03   1.090350e-01   79620
  4.359759e+00   2.917901e+01   3.897281e-03   1.063516e-01   81236
  4.373418e+00   2.879978e+01   3.880312e-03   1.073624e-01   79608
  4.387029e+00   2.888612e+01   3.933006e-03   1.063749e-01   80268
  4.400643e+00   2.869798e+01   3.850171e-03   1.065073e-01   78412
  4.414192e+00   2.860549e+01   3.922071e-03   1.059598e-01   78952
  4.427933e+00   2.823332e+01   3.938715e-03   1.051248e-01   79656
  4.441606e+00   2.824920e+01   3.881671e-03   1.066570e-01   77184
  4.455081e+00   2.809219e+01   3.897139e-03   1.059429e-01   76944
  4.468742e+00   2.795129e+01   3.934255e-03   1.052594e-01   77984
  4.482318e+00   2.784178e+01   3.887487e-03   1.058889e-01   75336
  4.495891e+00   2.793196e+01   3.967951e-03   1.045373e-01   77280
  4.509585e+00   2.750581e+01   3.911883e-03   1.044262e-01   75120
  4.523186e+00   2.736672e+01   4.006918e-03   1.031044e-01   76364
  4.536881e+00   2.739238e+01   3.870669e-03   1.042591e-01   74244
  4.550448e+00   2.721117e+01   4.007133e-03   1.032404e-01   74400
  4.563952e+00   2.704648e+01   3.919594e-03   1.049270e-01   73388
  4.577709e+00   2.694093e+01   3.981865e-03   1.040700e-01   74964
  4.591267e+00   2.671413e+01   3.838052e-03   1.049289e-01   71100
  4.604865e+00   2.653634e+01   3.984832e-03   1.026042e-01   74100
  4.618437e+00   2.646019e+01   3.839966e-03   1.045717e-01   70068
  4.631915e+00   2.658427e+01   3.927566e-03   1.030321e-01   72296
  4.645712e+00   2.586490e+01   3.920569e-03   1.006282e-01   71724
  4.659287e+00   2.606347e+01   3.930407e-03   1.021240e-01   69852
  4.672792e+00   2.571503e+01   3.886828e-03   1.005886e-01   69732
  4.686387e+00   2.598105e+01   3.918196e-03   1.018014e-01   69512
  4.699982e+00   2.570992e+01   3.922067e-03   1.021071e-01   69252
  4.713606e+00   2.555073e+01   3.871092e-03   1.014901e-01   68064
