# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
    230   4.636094e+01   8.905670e-01   9.457578e-01   0.000000e+00   0.000000e+00
    231   4.654844e+01   9.011920e-01   9.505660e-01   0.000000e+00   0.000000e+00
    232   4.673594e+01   9.119997e-01   9.555669e-01   0.000000e+00   0.000000e+00
    233   4.692344e+01   9.229960e-01   9.607653e-01   0.000000e+00   0.000000e+00
    234   4.711094e+01   9.341867e-01   9.661662e-01   0.000000e+00   0.000000e+00
    235   4.729844e+01   9.455782e-01   9.717748e-01   0.000000e+00   0.000000e+00
    236   4.748594e+01   9.571770e-01   9.775964e-01   0.000000e+00   0.000000e+00
    237   4.767344e+01   9.689900e-01   9.836369e-01   0.000000e+00   0.000000e+00
    238   4.786094e+01   9.810243e-01   9.899020e-01   0.000000e+00   0.000000e+00
    239   4.804844e+01   9.932873e-01   9.963979e-01   0.000000e+00   0.000000e+00
    240   4.823594e+01   1.005787e+00   1.003131e+00   0.000000e+00   0.000000e+00
