# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  1.612168e+00   6.776786e+00   3.908672e-03   5.904507e-02   14088
  1.625624e+00   6.941955e+00   3.879336e-03   5.822931e-02   14208
  1.639178e+00   6.978713e+00   4.071732e-03   5.793003e-02   15074
  1.652966e+00   7.105816e+00   4.075022e-03   5.744159e-02   15480
  1.666752e+00   7.182040e+00   3.843772e-03   5.896640e-02   14862
  1.679789e+00   7.099047e+00   3.927431e-03   5.780582e-02   15232
  1.693506e+00   7.217434e+00   3.931524e-03   5.719113e-02   16018
  1.706973e+00   7.334866e+00   3.816759e-03   5.838922e-02   15720
  1.720412e+00   7.586841e+00   3.911029e-03   5.958085e-02   16296
  1.734261e+00   7.573465e+00   3.879045e-03   5.808533e-02   17010
  1.747710e+00   7.667170e+00   3.776189e-03   5.988293e-02   16328
  1.761238e+00   7.705542e+00   3.711062e-03   5.756877e-02   17094
  1.774811e+00   7.644468e+00   3.924532e-03   5.795475e-02   17436
  1.788534e+00   7.738895e+00   3.989493e-03   5.714707e-02   17862
  1.802314e+00   7.962338e+00   3.866890e-03   5.840766e-02   18200
  1.816191e+00   8.032879e+00   4.099167e-03   5.947358e-02   18450
  1.829771e+00   8.111447e+00   3.838324e-03   5.975719e-02   18384
  1.843323e+00   8.082008e+00   3.923486e-03   5.896779e-02   18504
  1.856855e+00   8.360594e+00   3.885045e-03   5.988355e-02   19142
  1.870661e+00   8.245633e+00   3.895698e-03   5.800379e-02   19692
  1.884317e+00   8.237911e+00   3.914843e-03   6.029317e-02   19062
  1.897677e+00   8.429114e+00   3.958747e-03   5.892529e-02   20184
  1.911496e+00   8.382687e+00   3.897574e-03   5.975528e-02   19970
  1.924963e+00   8.646197e+00   3.909731e-03   5.983189e-02   20496
  1.938839e+00   8.609844e+00   4.023732e-03   5.816554e-02   21456
  1.952332e+00   8.618553e+00   3.635348e-03   6.158268e-02   19650
  1.965583e+00   8.809685e+00   4.039758e-03   5.974516e-02   22040
  1.979557e+00   8.878523e+00   3.828807e-03   5.954716e-02   21558
  1.993024e+00   8.805295e+00   3.951337e-03   6.011885e-02   21804
  2.006530e+00   8.847833e+00   3.912103e-03   5.986877e-02   21846
  2.020013e+00   9.036003e+00   3.927065e-03   6.032715e-02   22496
  2.033563e+00   9.084079e+00   3.987707e-03   6.024075e-02   22776
  2.047479e+00   9.142799e+00   3.994392e-03   5.886078e-02   23874
  2.061145e+00   9.175541e+00   4.027768e-03   6.067317e-02   23120
  2.074737e+00   9.386915e+00   3.956099e-03   6.058194e-02   23958
  2.088373e+00   9.471851e+00   3.906756e-03   6.216111e-02   23892
  2.101727e+00   9.410933e+00   3.924859e-03   6.145039e-02   23550
  2.115216e+00   9.456520e+00   3.968932e-03   5.920078e-02   25296
  2.128915e+00   9.571783e+00   3.924347e-03   6.039054e-02   24452
  2.142311e+00   9.535835e+00   3.835662e-03   6.005261e-02   25254
  2.156023e+00   9.742005e+00   3.969357e-03   6.050813e-02   26016
  2.169543e+00   9.629981e+00   3.782439e-03   6.058324e-02   25182
  2.183190e+00   9.648832e+00   3.967911e-03   5.887333e-02   27428
  2.197036e+00   9.842012e+00   3.811822e-03   6.115046e-02   25974
  2.210356e+00   9.779059e+00   3.861453e-03   5.879383e-02   26904
  2.223881e+00   9.777356e+00   3.824751e-03   6.061527e-02   26730
  2.237420e+00   9.903727e+00   3.914440e-03   5.968847e-02   27896
  2.251310e+00   1.005197e+01   4.054409e-03   5.896380e-02   28992
  2.265347e+00   9.883886e+00   3.954062e-03   5.821993e-02   28698
  2.278737e+00   1.014427e+01   3.843600e-03   6.140927e-02   27776
  2.292429e+00   9.922297e+00   3.995766e-03   5.716408e-02   29814
  2.306139e+00   1.013642e+01   3.915312e-03   5.956288e-02   29148
  2.319524e+00   1.007203e+01   3.875582e-03   5.927392e-02   28806
  2.333025e+00   1.022559e+01   3.958903e-03   5.826751e-02   30408
  2.346651e+00   1.014217e+01   3.963675e-03   5.801928e-02   30320
  2.360383e+00   1.016166e+01   3.835440e-03   5.798880e-02   30930
  2.374113e+00   1.031700e+01   4.052392e-03   5.798103e-02   31656
  2.387552e+00   1.026001e+01   3.767771e-03   5.946813e-02   30038
  2.401049e+00   1.030160e+01   3.994026e-03   5.662287e-02   32772
  2.414634e+00   1.038766e+01   3.846851e-03   5.895712e-02   30846
  2.428124e+00   1.034669e+01   4.001639e-03   5.657104e-02   33480
  2.441934e+00   1.041979e+01   4.002753e-03   5.771078e-02   32804
  2.455419e+00   1.041669e+01   3.837070e-03   5.817285e-02   32814
  2.469066e+00   1.044807e+01   3.979794e-03   5.691421e-02   34200
  2.482757e+00   1.053186e+01   3.961173e-03   5.800769e-02   33594
  2.496189e+00   1.067792e+01   3.958120e-03   5.686673e-02   34336
  2.509895e+00   1.048277e+01   4.021608e-03   5.561955e-02   34822
  2.523498e+00   1.048810e+01   3.984730e-03   5.510135e-02   35472
  2.537012e+00   1.064815e+01   3.829489e-03   5.774674e-02   34404
  2.550515e+00   1.070245e+01   3.989015e-03   5.571492e-02   36254
  2.564036e+00   1.064684e+01   3.909325e-03   5.597551e-02   35952
  2.577685e+00   1.074898e+01   3.865425e-03   5.593510e-02   36570
  2.591221e+00   1.073286e+01   3.945868e-03   5.526069e-02   37176
  2.604897e+00   1.077911e+01   3.868066e-03   5.541202e-02   37374
  2.618539e+00   1.073379e+01   3.900492e-03   5.467861e-02   38084
  2.632053e+00   1.074483e+01   3.851721e-03   5.555181e-02   37590
  2.645768e+00   1.090315e+01   3.924351e-03   5.465378e-02   39480
  2.659318e+00   1.079885e+01   3.881595e-03   5.511300e-02   38228
  2.672896e+00   1.100509e+01   3.832629e-03   5.477752e-02   39678
  2.686732e+00   1.095231e+01   4.013848e-03   5.451653e-02   40944
  2.700458e+00   1.088869e+01   3.906598e-03   5.447052e-02   39678
  2.713942e+00   1.107688e+01   3.899880e-03   5.530497e-02   40652
  2.727541e+00   1.094577e+01   3.970706e-03   5.459613e-02   40758
  2.741211e+00   1.106005e+01   3.946723e-03   5.407125e-02   42216
  2.754895e+00   1.094414e+01   3.941899e-03   5.404521e-02   41532
  2.768446e+00   1.101214e+01   3.908674e-03   5.313005e-02   42134
  2.781915e+00   1.091488e+01   3.852299e-03   5.276973e-02   42216
  2.795593e+00   1.108020e+01   3.995670e-03   5.292839e-02   43530
  2.809225e+00   1.120059e+01   3.940296e-03   5.436537e-02   43848
  2.822801e+00   1.105485e+01   3.861058e-03   5.325266e-02   42854
  2.836455e+00   1.112074e+01   4.071603e-03   5.199532e-02   46176
  2.850131e+00   1.111819e+01   3.770192e-03   5.352876e-02   43380
  2.863598e+00   1.109034e+01   3.917386e-03   5.228686e-02   45294
  2.877132e+00   1.105345e+01   3.960175e-03   5.115478e-02   45744
  2.890932e+00   1.112178e+01   3.942487e-03   5.174669e-02   46682
  2.904469e+00   1.099674e+01   3.914379e-03   5.163388e-02   45840
  2.918029e+00   1.111747e+01   3.983754e-03   5.163565e-02   47118
  2.931574e+00   1.103159e+01   3.902550e-03   5.072119e-02   46916
  2.945138e+00   1.104278e+01   4.001451e-03   5.048557e-02   48192
  2.959047e+00   1.112363e+01   3.978965e-03   4.984554e-02   49566
  2.972418e+00   1.100892e+01   3.826645e-03   5.072972e-02   46284
  2.985778e+00   1.105331e+01   3.941096e-03   4.990088e-02   49486
  2.999427e+00   1.107015e+01   3.935566e-03   4.951151e-02   49840
  3.013055e+00   1.113951e+01   3.926843e-03   4.998713e-02   49806
  3.026747e+00   1.119431e+01   3.938750e-03   4.990053e-02   51492
  3.040282e+00   1.108184e+01   3.850917e-03   5.011107e-02   49488
  3.053928e+00   1.121924e+01   3.960828e-03   4.883650e-02   53198
  3.067660e+00   1.102302e+01   3.817999e-03   4.900304e-02   51060
  3.081158e+00   1.116601e+01   3.894577e-03   4.877113e-02   52134
  3.094688e+00   1.116102e+01   3.888791e-03   4.881056e-02   52864
  3.108319e+00   1.112449e+01   3.904203e-03   4.826120e-02   52930
  3.121955e+00   1.121544e+01   3.954567e-03   4.821957e-02   54936
