# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  2.387552e+00   1.105680e+01   3.767771e-03   6.414077e-02   30038
  2.401049e+00   1.108700e+01   3.994026e-03   6.090835e-02   32772
  2.414634e+00   1.117020e+01   3.846851e-03   6.326124e-02   30846
  2.428124e+00   1.113753e+01   4.001639e-03   6.090874e-02   33480
  2.441934e+00   1.121485e+01   4.002753e-03   6.230752e-02   32804
  2.455419e+00   1.120280e+01   3.837070e-03   6.247980e-02   32814
  2.469066e+00   1.125017e+01   3.979794e-03   6.127498e-02   34200
  2.482757e+00   1.130742e+01   3.961173e-03   6.201577e-02   33594
  2.496189e+00   1.149207e+01   3.958120e-03   6.140828e-02   34336
  2.509895e+00   1.126733e+01   4.021608e-03   5.994755e-02   34822
  2.523498e+00   1.126481e+01   3.984730e-03   5.899194e-02   35472
  2.537012e+00   1.142394e+01   3.829489e-03   6.165610e-02   34404
  2.550515e+00   1.149924e+01   3.989015e-03   5.979316e-02   36254
  2.564036e+00   1.142607e+01   3.909325e-03   5.995344e-02   35952
  2.577685e+00   1.157840e+01   3.865425e-03   5.996492e-02   36570
  2.591221e+00   1.153566e+01   3.945868e-03   5.930594e-02   37176
  2.604897e+00   1.157601e+01   3.868066e-03   5.952180e-02   37374
  2.618539e+00   1.152027e+01   3.900492e-03   5.871446e-02   38084
  2.632053e+00   1.153678e+01   3.851721e-03   5.952576e-02   37590
  2.645768e+00   1.173343e+01   3.924351e-03   5.879433e-02   39480
  2.659318e+00   1.159635e+01   3.881595e-03   5.920678e-02   38228
  2.672896e+00   1.186820e+01   3.832629e-03   5.915834e-02   39678
  2.686732e+00   1.179549e+01   4.013848e-03   5.879440e-02   40944
  2.700458e+00   1.170396e+01   3.906598e-03   5.867034e-02   39678
  2.713942e+00   1.190539e+01   3.899880e-03   5.945073e-02   40652
  2.727541e+00   1.177232e+01   3.970706e-03   5.874015e-02   40758
  2.741211e+00   1.191499e+01   3.946723e-03   5.838005e-02   42216
  2.754895e+00   1.180091e+01   3.941899e-03   5.812821e-02   41532
  2.768446e+00   1.185620e+01   3.908674e-03   5.716724e-02   42134
  2.781915e+00   1.176167e+01   3.852299e-03   5.701726e-02   42216
  2.795593e+00   1.192474e+01   3.995670e-03   5.697127e-02   43530
  2.809225e+00   1.206596e+01   3.940296e-03   5.841938e-02   43848
  2.822801e+00   1.187422e+01   3.861058e-03   5.698122e-02   42854
  2.836455e+00   1.202030e+01   4.071603e-03   5.638018e-02   46176
  2.850131e+00   1.198516e+01   3.770192e-03   5.784787e-02   43380
  2.863598e+00   1.193611e+01   3.917386e-03   5.656022e-02   45294
  2.877132e+00   1.186869e+01   3.960175e-03   5.469914e-02   45744
  2.890932e+00   1.197081e+01   3.942487e-03   5.576544e-02   46682
  2.904469e+00   1.187555e+01   3.914379e-03   5.588558e-02   45840
  2.918029e+00   1.199099e+01   3.983754e-03   5.547440e-02   47118
  2.931574e+00   1.188260e+01   3.902550e-03   5.446076e-02   46916
  2.945138e+00   1.190157e+01   4.001451e-03   5.440823e-02   48192
  2.959047e+00   1.197474e+01   3.978965e-03   5.374412e-02   49566
  2.972418e+00   1.187572e+01   3.826645e-03   5.467650e-02   46284
  2.985778e+00   1.192810e+01   3.941096e-03   5.386015e-02   49486
  2.999427e+00   1.192993e+01   3.935566e-03   5.323930e-02   49840
  3.013055e+00   1.199740e+01   3.926843e-03   5.385255e-02   49806
  3.026747e+00   1.207139e+01   3.938750e-03   5.380801e-02   51492
  3.040282e+00   1.188786e+01   3.850917e-03   5.400248e-02   49488
  3.053928e+00   1.210236e+01   3.960828e-03   5.261668e-02   53198
  3.067660e+00   1.187616e+01   3.817999e-03   5.287519e-02   51060
  3.081158e+00   1.204524e+01   3.894577e-03   5.253656e-02   52134
  3.094688e+00   1.202897e+01   3.888791e-03   5.247621e-02   52864
  3.108319e+00   1.202032e+01   3.904203e-03   5.228841e-02   52930
  3.121955e+00   1.209885e+01   3.954567e-03   5.180952e-02   54936
  3.135758e+00   1.200582e+01   3.897590e-03   5.195313e-02   53886
  3.149230e+00   1.190788e+01   3.937544e-03   5.077522e-02   54268
  3.162743e+00   1.198689e+01   3.939575e-03   5.113949e-02   55264
  3.176547e+00   1.208484e+01   3.942980e-03   5.075198e-02   56358
  3.190083e+00   1.190383e+01   3.916767e-03   5.054137e-02   55632
  3.203717e+00   1.192698e+01   3.912176e-03   5.020259e-02   56514
  3.217266e+00   1.198418e+01   3.982076e-03   5.046041e-02   57248
  3.230810e+00   1.177978e+01   3.904678e-03   4.927554e-02   56766
  3.244673e+00   1.185910e+01   4.094868e-03   4.796943e-02   60804
  3.258170e+00   1.185079e+01   3.776079e-03   4.989307e-02   55416
  3.271753e+00   1.196874e+01   3.996388e-03   4.867383e-02   61286
  3.285338e+00   1.195073e+01   3.833338e-03   5.004333e-02   57396
