# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  2.265347e+00   6.865866e+01   3.954062e-03   4.119406e-01   28698
  2.278737e+00   6.860845e+01   3.843600e-03   4.091925e-01   27776
  2.292429e+00   6.914358e+01   3.995766e-03   4.014171e-01   29814
  2.306139e+00   6.861383e+01   3.915312e-03   4.047761e-01   29148
  2.319524e+00   6.773082e+01   3.875582e-03   4.022668e-01   28806
  2.333025e+00   6.991449e+01   3.958903e-03   3.992012e-01   30408
  2.346651e+00   6.892251e+01   3.963675e-03   3.944319e-01   30320
  2.360383e+00   6.940663e+01   3.835440e-03   3.913971e-01   30930
  2.374113e+00   6.960002e+01   4.052392e-03   3.934017e-01   31656
  2.387552e+00   6.929477e+01   3.767771e-03   4.009433e-01   30038
  2.401049e+00   6.965482e+01   3.994026e-03   3.880364e-01   32772
  2.414634e+00   6.926646e+01   3.846851e-03   3.922333e-01   30846
  2.428124e+00   6.864109e+01   4.001639e-03   3.780929e-01   33480
  2.441934e+00   6.956564e+01   4.002753e-03   3.805946e-01   32804
  2.455419e+00   6.926470e+01   3.837070e-03   3.815779e-01   32814
  2.469066e+00   6.929635e+01   3.979794e-03   3.792702e-01   34200
  2.482757e+00   7.059458e+01   3.961173e-03   3.912558e-01   33594
  2.496189e+00   6.910613e+01   3.958120e-03   3.785684e-01   34336
  2.509895e+00   6.957274e+01   4.021608e-03   3.742969e-01   34822
  2.523498e+00   6.924727e+01   3.984730e-03   3.677283e-01   35472
  2.537012e+00   6.985627e+01   3.829489e-03   3.747171e-01   34404
  2.550515e+00   6.932984e+01   3.989015e-03   3.656376e-01   36254
  2.564036e+00   6.999051e+01   3.909325e-03   3.687981e-01   35952
  2.577685e+00   7.031657e+01   3.865425e-03   3.648911e-01   36570
  2.591221e+00   6.972025e+01   3.945868e-03   3.583491e-01   37176
  2.604897e+00   6.943670e+01   3.868066e-03   3.625399e-01   37374
  2.618539e+00   6.916478e+01   3.900492e-03   3.536518e-01   38084
  2.632053e+00   6.982691e+01   3.851721e-03   3.661902e-01   37590
  2.645768e+00   6.913440e+01   3.924351e-03   3.513663e-01   39480
  2.659318e+00   6.967668e+01   3.881595e-03   3.615776e-01   38228
  2.672896e+00   6.990069e+01   3.832629e-03   3.514529e-01   39678
  2.686732e+00   6.893568e+01   4.013848e-03   3.439075e-01   40944
  2.700458e+00   7.005585e+01   3.906598e-03   3.553306e-01   39678
  2.713942e+00   6.885981e+01   3.899880e-03   3.396103e-01   40652
  2.727541e+00   6.869469e+01   3.970706e-03   3.408236e-01   40758
  2.741211e+00   6.915369e+01   3.946723e-03   3.374152e-01   42216
  2.754895e+00   6.885152e+01   3.941899e-03   3.415653e-01   41532
  2.768446e+00   6.853873e+01   3.908674e-03   3.351709e-01   42134
  2.781915e+00   6.920930e+01   3.852299e-03   3.391826e-01   42216
  2.795593e+00   6.965826e+01   3.995670e-03   3.346806e-01   43530
  2.809225e+00   6.835323e+01   3.940296e-03   3.273133e-01   43848
  2.822801e+00   6.833606e+01   3.861058e-03   3.317337e-01   42854
  2.836455e+00   6.895131e+01   4.071603e-03   3.253784e-01   46176
  2.850131e+00   6.844223e+01   3.770192e-03   3.282538e-01   43380
  2.863598e+00   6.867575e+01   3.917386e-03   3.248626e-01   45294
  2.877132e+00   6.870667e+01   3.960175e-03   3.205558e-01   45744
  2.890932e+00   6.775180e+01   3.942487e-03   3.167210e-01   46682
  2.904469e+00   6.810141e+01   3.914379e-03   3.202202e-01   45840
  2.918029e+00   6.806856e+01   3.983754e-03   3.141719e-01   47118
  2.931574e+00   6.736587e+01   3.902550e-03   3.117250e-01   46916
  2.945138e+00   6.717297e+01   4.001451e-03   3.069285e-01   48192
  2.959047e+00   6.826943e+01   3.978965e-03   3.089088e-01   49566
  2.972418e+00   6.717696e+01   3.826645e-03   3.141787e-01   46284
  2.985778e+00   6.829375e+01   3.941096e-03   3.058480e-01   49486
  2.999427e+00   6.715273e+01   3.935566e-03   3.022699e-01   49840
  3.013055e+00   6.679932e+01   3.926843e-03   3.000177e-01   49806
  3.026747e+00   6.719164e+01   3.938750e-03   2.984083e-01   51492
  3.040282e+00   6.699288e+01   3.850917e-03   2.989705e-01   49488
  3.053928e+00   6.784049e+01   3.960828e-03   2.945858e-01   53198
  3.067660e+00   6.653663e+01   3.817999e-03   2.938910e-01   51060
  3.081158e+00   6.705646e+01   3.894577e-03   2.953602e-01   52134
  3.094688e+00   6.621962e+01   3.888791e-03   2.878005e-01   52864
  3.108319e+00   6.578232e+01   3.904203e-03   2.882504e-01   52930
  3.121955e+00   6.706613e+01   3.954567e-03   2.880794e-01   54936
  3.135758e+00   6.649179e+01   3.897590e-03   2.852112e-01   53886
  3.149230e+00   6.626654e+01   3.937544e-03   2.826021e-01   54268
  3.162743e+00   6.617881e+01   3.939575e-03   2.807795e-01   55264
  3.176547e+00   6.585152e+01   3.942980e-03   2.769120e-01   56358
  3.190083e+00   6.480440e+01   3.916767e-03   2.752664e-01   55632
  3.203717e+00   6.632015e+01   3.912176e-03   2.790012e-01   56514
  3.217266e+00   6.562826e+01   3.982076e-03   2.757011e-01   57248
  3.230810e+00   6.586201e+01   3.904678e-03   2.786283e-01   56766
  3.244673e+00   6.571217e+01   4.094868e-03   2.697127e-01   60804
  3.258170e+00   6.573819e+01   3.776079e-03   2.776168e-01   55416
  3.271753e+00   6.487079e+01   3.996388e-03   2.612634e-01   61286
  3.285338e+00   6.494379e+01   3.833338e-03   2.727874e-01   57396
  3.298806e+00   6.407711e+01   3.991398e-03   2.603120e-01   60870
  3.312472e+00   6.420773e+01   3.883682e-03   2.602303e-01   60248
  3.326075e+00   6.423381e+01   3.982993e-03   2.592884e-01   60978
  3.339697e+00   6.383420e+01   3.918479e-03   2.583153e-01   62016
  3.353256e+00   6.429677e+01   3.912234e-03   2.649307e-01   60768
  3.366742e+00   6.393339e+01   3.948483e-03   2.551968e-01   62806
  3.380458e+00   6.428710e+01   3.971518e-03   2.591246e-01   63868
  3.394173e+00   6.375913e+01   3.950242e-03   2.562771e-01   63054
  3.407522e+00   6.413933e+01   3.889075e-03   2.572211e-01   63024
  3.421149e+00   6.412934e+01   4.000464e-03   2.537466e-01   64882
  3.434670e+00   6.297441e+01   3.899766e-03   2.513167e-01   64744
  3.448305e+00   6.405138e+01   3.892570e-03   2.534659e-01   65688
  3.461951e+00   6.331532e+01   3.915056e-03   2.481509e-01   65994
  3.475449e+00   6.320994e+01   3.920197e-03   2.446983e-01   66648
  3.489190e+00   6.235451e+01   3.861504e-03   2.442529e-01   67310
