Galaxy_ID,N_points,Has_bulge,N_params_fitted,Yd_MAP,Yb_MAP,fd_MAP,chi2_data_MAP,chi2_prior_penalty,chi2_total_MAP,chi2_reduced_nuisance,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,RMS_pct_strict
UGC06973,9,1,3,0.55,0.35,0.85,115.1093,6.41,121.5193,19.1849,516.5504,535.1393,34.57
UGC06983,17,0,2,0.85,,0.9,18.9982,8.84,27.8382,1.2665,1.6805,3.1512,9.07
UGC07089,12,0,2,0.45,,1.05,2.4235,0.41,2.8335,0.2424,29.1784,34.8016,31.48
UGC07125,13,0,2,0.25,,1.15,558.7178,6.25,564.9678,50.7925,207.0269,243.0036,38.59
UGC07151,11,0,2,0.75,,1.15,26.0499,6.25,32.2999,2.8944,29.975,39.472,20.0
UGC07232,4,0,2,0.65,,0.95,7.3325,1.69,9.0225,3.6663,4.4832,5.3996,22.1
UGC07261,7,0,2,0.75,,1.025,3.7711,4.0625,7.8336,0.7542,4.1751,5.8665,14.06
UGC07323,10,0,2,0.55,,0.975,3.1446,0.2225,3.3671,0.3931,31.0125,37.7533,27.92
UGC07399,10,0,2,1.45,,0.85,43.7664,60.01,103.7764,5.4708,40.8049,33.4013,28.27
UGC07524,31,0,2,0.65,,1.125,80.4036,3.0025,83.4061,2.7725,15.2904,21.1307,17.32
UGC07559,7,0,2,0.25,,1.125,9.4436,5.5625,15.0061,1.8887,17.6999,20.876,39.08
UGC07577,9,0,2,0.25,,1.15,48.2387,6.25,54.4887,6.8912,25.0852,27.9119,60.38
UGC07603,12,0,2,0.85,,0.85,34.8865,10.09,44.9765,3.4886,3.4293,3.6304,13.61
UGC07608,8,0,2,0.75,,0.875,9.4817,5.5625,15.0442,1.5803,0.822,0.5723,16.65
UGC07690,7,0,2,0.65,,1.025,9.197,1.5025,10.6995,1.8394,9.4382,12.2221,19.02
UGC07866,7,0,2,0.35,,1.05,4.3341,1.69,6.0241,0.8668,7.8212,9.4731,31.35
UGC08286,17,0,2,1.05,,0.95,37.1299,19.61,56.7399,2.4753,3.9768,2.4831,9.06
UGC08490,30,0,2,0.95,,0.85,10.1672,15.21,25.3772,0.3631,0.5606,0.2391,3.83
UGC08550,11,0,2,0.85,,0.975,12.7375,7.9025,20.64,1.4153,2.3766,4.8208,6.74
UGC08699,41,1,3,0.85,0.85,1.05,46.6878,8.8247,55.5125,1.2286,41.3959,50.6758,14.48
UGC08837,8,0,2,0.25,,1.15,32.3925,6.25,38.6425,5.3988,70.5791,80.9112,45.58
UGC09037,22,0,2,0.45,,1.05,37.0671,0.41,37.4771,1.8534,163.8788,184.2855,34.47
UGC09133,68,1,3,0.75,0.75,1.15,1248.1991,6.3316,1254.5307,19.2031,452.0153,574.6616,18.87
UGC09992,5,0,2,0.35,,1.075,12.0255,2.0025,14.028,4.0085,11.8965,13.8618,36.14
UGC10310,7,0,2,0.65,,1.05,11.6307,1.69,13.3207,2.3261,6.8194,9.3019,16.04
UGC11455,36,0,2,0.65,,0.85,163.2406,3.69,166.9306,4.8012,129.8878,147.1422,27.67
UGC11557,12,0,2,0.35,,1.1,14.8249,2.44,17.2649,1.4825,49.0705,54.5116,53.92
UGC11820,10,0,2,0.55,,1.15,184.7288,2.41,187.1388,23.0911,74.4303,109.3097,14.53
UGC11914,65,1,3,0.85,0.95,1.1,248.2877,10.8808,259.1685,4.0046,63.9516,74.4875,11.18
UGC12506,31,0,2,0.95,,1.025,68.2765,13.0225,81.299,2.3544,2.271,3.0663,24.94
UGC12632,15,0,2,0.75,,1.15,59.8328,6.25,66.0828,4.6025,12.4604,17.8538,13.23
UGC12732,16,0,2,0.85,,1.15,24.3301,10.09,34.4201,1.7379,4.4024,8.0306,7.77
UGCA281,7,0,2,0.55,,1.0,1.1907,0.16,1.3507,0.2381,15.8998,20.382,22.06
UGCA442,8,0,2,0.45,,0.875,26.3399,1.7225,28.0624,4.39,4.9074,7.3467,10.38
UGCA444,36,0,2,0.45,,1.15,30.4215,2.41,32.8315,0.8948,1.6626,2.3792,13.53
