# Sharma et al. 2021, MNRAS 503, 1753 (doi:10.1093/mnras/stab249; arXiv:2005.00279) released catalogue
# "Flat rotation curves of z~1 star-forming galaxies": 344 KROSS galaxies re-modelled with 3D-Barolo.
# SOURCE: CDS/VizieR J/MNRAS/503/1753 catalog.dat (Records=344), sha256 b91ea011fd98ceacf1b30a18123da2c4a20162d78edbf383fbff37c72b57df45;
#   cross-checked C6 against the authors' Harvard Dataverse file doi:10.7910/DVN/MHRG4O
#   (gsharma_2020_catalog.fits, md5 43037198cef3cc89376984cb76a8dd61, sha256 507c2e0834957950f30d72eb99832d95ac75f31628e412351731448be859c942).
# VIZIER LABEL DEFECT: the CDS ReadMe labels Re, Vout, VPGCout, Sigma, LHa, FHa (and their errors) as log
#   quantities ([kpc], [km/s], ...). The numbers are LINEAR: they equal the Dataverse FITS columns and Re spans
#   0.695-7.73 kpc, matching the abstract's 0.69<=R_e[kpc]<=7.76. Columns here are named as linear.
# CONVENTIONS: no cosmology statement found in the arXiv source; Re, M_H, PA, magnitudes are adopted from
#   Harrison+2017 (H0=70, Om=0.3, OL=0.7, Chabrier). Quality: 1 best, 2 reasonable, 3 discarded by the authors.
# VELOCITY: Vout_kms = 3D-Barolo rotation velocity at R_out = 6.4 R_D, R_D = 0.59 R_e (beam smearing
#   handled in 3D; paper Sec. 3.1 figure caption: R_out = R_2opt = 3.78 R_e); VPGC_out_kms = same after
#   PRESSURE-GRADIENT CORRECTION (paper Sec. 3.2):
#   V_c^PGC = sqrt(V_phi^2 - sigma_R^2 [dln Sigma/dln R + dln sigma_R^2/dln R + (1-alpha)/2]).
#   => R_out_kpc = 3.78*Re_kpc (not a column; compute downstream). Sigma_kms = weighted
#   mean intrinsic dispersion. L_Ha in erg/s (10^-7 W), F_Ha in erg/s/cm^2 (mW/m^2), no extinction correction.
# STELLAR MASS: the paper's LePhare masses (supplied by A. Tiley) are NOT in the released catalogue.
#   T19_* = JOIN to Tiley2019a KROSS rows by KID (167/344 present; SED masses, WMAP9).
#   H17_* = JOIN to Harrison+2017 by KID (344/344; fixed M/L=0.2 H-band mass, H0=70; R_1/2 kpc).
# Built by scripts/highz_tf_samples_build.py on 2026-09-16.
KID,Name,Quality,Flag_PA,RAdeg,DEdeg,z,PA_deg,INC_deg,MH_AB,zmag_AB,Kmag_AB,Re_kpc,Re_err_kpc,Vout_kms,Vout_err_kms,VPGC_out_kms,VPGC_out_err_kms,Sigma_kms,Sigma_err_kms,L_Ha_erg_s,L_Ha_err_erg_s,F_Ha_erg_s_cm2,T19_logMstar_SED,T19_disky_flag,H17_logMstar_fixedML,H17_R12_kpc
71,C-zcos_z1_15,2,phot,150.08535,2.257465,0.924967,-16.322,53.0,-22.4,22.086147,21.266808,5.291031,3.174619,263.815,20.712059,265.79394,20.596099,9.86643,3.275329,2.47157e+41,1.23578e+40,3.82451e-17,9.87652,1,10.14503,5.291031
72,C-zcos_z1_156,2,phot,150.40686,1.952865,0.868009,-52.253,54.0195,-21.62,21.67905,21.520634,2.125523,0.637657,146.46756,22.249911,151.54271,21.965157,27.21407,4.336482,4.46862e+41,2.23431e+40,8.08877e-17,9.59786,0,9.833031,2.125523
74,C-zcos_z1_162,2,kin,150.39053,1.957027,0.96041,-67.718,42.0973,-23.52,20.787327,20.130533,5.175065,1.552519,131.57,17.860988,144.94955,16.927854,52.41875,3.730297,8.24121e+41,4.1206e+40,1.16213e-16,,,10.59303,5.175065
75,C-zcos_z1_166,1,kin,150.34805,1.941696,0.923379,65.069,48.7071,-21.61,21.820513,21.616411,2.766585,0.829975,78.56013,9.61684,100.4574,9.888691,28.29201,3.329747,4.28498e+41,2.14249e+40,6.65878e-17,9.5081,1,9.82903,2.766585
76,C-zcos_z1_172,1,kin,150.33095,1.879751,0.838631,-35.501,53.4287,-20.64,21.844229,22.136932,3.426241,1.027872,35.564,7.196933,101.01316,13.42468,60.09714,3.604953,1.56282e+42,7.81409e+40,3.07941e-16,,,9.44103,3.426241
80,C-zcos_z1_188,3,phot,150.28482,1.9034,0.880163,-20.067,46.2126,-21.13,22.188902,22.022072,2.348307,0.704492,54.40023,8.470332,132.38229,11.391452,72.55399,3.693652,2.67856e+41,1.33928e+40,4.68509e-17,9.36469,0,9.63703,2.348307
81,C-zcos_z1_189,2,phot,150.28094,1.94412,0.937734,8.436,50.4911,-22.46,21.459438,20.950493,4.340548,1.302165,139.404,15.869571,146.03878,15.451493,24.32649,3.280608,7.61974e+41,3.80987e+40,1.13983e-16,9.93555,0,10.16903,4.340549
83,C-zcos_z1_191,2,phot,150.27069,1.930088,0.833064,21.043,49.9821,-20.39,22.450134,22.48191,3.040985,0.912296,17.839,3.35741,50.83573,10.054792,51.92219,3.477099,2.56104e+41,1.28052e+40,5.12978e-17,9.17117,0,9.34103,3.040985
84,C-zcos_z1_192,2,kin,150.26435,1.90013,0.914106,-40.448,33.4048,-22.01,21.452631,21.154665,3.535775,1.060733,126.558,19.150551,128.04267,19.002695,36.35487,4.265617,8.15657e+41,4.07829e+40,1.2995e-16,,,9.98903,3.535775
86,C-zcos_z1_197,2,kin,150.24601,1.854097,0.837416,44.436,40.7686,-21.04,22.052414,21.83078,3.603301,1.08099,62.624,9.519578,73.00738,9.890001,52.2129,3.564605,1.94265e+41,9.71324e+39,3.84153e-17,,,9.601031,3.603301
87,C-zcos_z1_198,1,kin,150.23888,1.908625,0.95913,89.016,68.6254,-22.42,21.714542,21.050941,5.584179,1.675254,102.793,13.113367,102.86979,13.109221,23.89387,3.347879,5.04704e+41,2.52352e+40,7.14058e-17,10.1264,1,10.15303,5.584179
88,C-zcos_z1_2,2,kin,150.30803,1.916526,0.896928,45.412,57.2959,-22.65,21.516413,20.731224,6.193996,1.858199,193.851,30.329405,277.92197,22.926513,106.19587,3.15205,3.03956e+41,1.51978e+40,5.07473e-17,10.2263,0,10.24503,6.193996
89,C-zcos_z1_200,2,phot,150.23447,1.906586,0.955679,65.967,39.6625,-21.15,22.147316,22.016006,3.176221,0.952866,110.039,23.041782,152.28274,18.098139,51.52489,3.630493,5.6752e+41,2.8376e+40,8.10112e-17,,,9.64503,3.176221
90,C-zcos_z1_202,1,phot,150.22238,1.878001,0.840891,20.153,53.2512,-22.73,20.722317,20.322718,3.161079,0.948324,178.29438,11.902902,222.21901,11.269867,79.21567,2.946862,1.7913e+42,8.95649e+40,3.50629e-16,10.0078,1,10.27703,3.161079
92,C-zcos_z1_322,2,phot,150.41056,2.079824,0.961797,60.927,50.6037,-23.27,21.168018,20.422743,2.776572,0.832972,258.34305,18.679137,278.24624,17.467173,79.06197,3.33627,3.39116e+41,1.69558e+40,4.76503e-17,10.6499,1,10.49303,2.776572
101,C-zcos_z1_351,2,phot,150.35927,2.096201,0.812051,12.433,42.6688,-21.16,21.842094,21.633286,2.344277,0.703283,11.44089,2.913235,59.15575,10.807908,39.01377,3.538626,4.75496e+41,2.37748e+40,1.01424e-16,,,9.64903,2.344277
103,C-zcos_z1_354,2,kin,150.34424,1.96613,0.838742,79.7,36.9638,-20.88,22.190371,22.04026,2.053858,0.616158,120.90063,19.578151,165.55306,16.28649,37.23007,4.055409,4.22175e+41,2.11088e+40,8.31593e-17,,,9.53703,2.053858
